t,tau,detuning,population,dP_dtau,heat_power,mutual_information
9.795999999999999375e+00,7.836800000000000210e+00,4.805143694175482705e-01,2.234152889257614294e-01,-6.674039270537018669e-03,-2.773653999189576187e-03,1.062393432748511835e+00
9.798000000000000043e+00,7.838400000000000034e+00,4.805296482959835469e-01,2.234046111387666400e-01,-6.673197020084120634e-03,-2.773222402410634429e-03,1.062366825749606170e+00
9.800000000000000711e+00,7.840000000000000746e+00,4.805449154318069960e-01,2.233939346988118857e-01,-6.672355469463824192e-03,-2.772791179727500822e-03,1.062340220793181134e+00
9.801999999999999602e+00,7.841599999999999682e+00,4.805601708336708078e-01,2.233832596047777841e-01,-6.671514617962075525e-03,-2.772360330747910585e-03,1.062313617876900373e+00
9.804000000000000270e+00,7.843200000000000394e+00,4.805754145102214547e-01,2.233725858555463961e-01,-6.670674464864315145e-03,-2.771929855079517842e-03,1.062287016998429312e+00
9.806000000000000938e+00,7.844800000000001106e+00,4.805906464700994141e-01,2.233619134500008097e-01,-6.669835009458426056e-03,-2.771499752331119896e-03,1.062260418155436037e+00
9.807999999999999829e+00,7.846400000000000041e+00,4.806058667219394454e-01,2.233512423870253616e-01,-6.668996251032828157e-03,-2.771070022111864466e-03,1.062233821345591522e+00
9.810000000000000497e+00,7.848000000000000753e+00,4.806210752743707015e-01,2.233405726655054990e-01,-6.668158188876324721e-03,-2.770640664031188104e-03,1.062207226566567630e+00
9.811999999999999389e+00,7.849599999999999689e+00,4.806362721360162849e-01,2.233299042843275573e-01,-6.667320822280181462e-03,-2.770211677699677480e-03,1.062180633816039332e+00
9.814000000000000057e+00,7.851200000000000401e+00,4.806514573154937464e-01,2.233192372423793703e-01,-6.666484150534636270e-03,-2.769783062727617859e-03,1.062154043091684041e+00
9.816000000000000725e+00,7.852800000000001113e+00,4.806666308214146976e-01,2.233085715385496606e-01,-6.665648172932394679e-03,-2.769354818726449830e-03,1.062127454391180947e+00
9.817999999999999616e+00,7.854400000000000048e+00,4.806817926623850323e-01,2.232979071717284270e-01,-6.664812888766916826e-03,-2.768926945308053302e-03,1.062100867712211683e+00
9.820000000000000284e+00,7.856000000000000760e+00,4.806969428470050376e-01,2.232872441408067510e-01,-6.663978297332155513e-03,-2.768499442084639082e-03,1.062074283052459656e+00
9.822000000000000952e+00,7.857600000000001472e+00,4.807120813838689499e-01,2.232765824446768244e-01,-6.663144397923367185e-03,-2.768072308669087146e-03,1.062047700409612050e+00
9.823999999999999844e+00,7.859200000000000408e+00,4.807272082815654546e-01,2.232659220822318935e-01,-6.662311189836766720e-03,-2.767645544674802657e-03,1.062021119781355827e+00
9.826000000000000512e+00,7.860800000000001120e+00,4.807423235486774638e-01,2.232552630523664261e-01,-6.661478672369209111e-03,-2.767219149715581528e-03,1.061994541165381944e+00
9.827999999999999403e+00,7.862400000000000055e+00,4.807574271937820054e-01,2.232446053539760278e-01,-6.660646844818911110e-03,-2.766793123405911822e-03,1.061967964559383359e+00
9.830000000000000071e+00,7.864000000000000767e+00,4.807725192254504454e-01,2.232339489859574144e-01,-6.659815706484421664e-03,-2.766367465360547017e-03,1.061941389961054805e+00
9.832000000000000739e+00,7.865600000000000591e+00,4.807875996522484319e-01,2.232232939472083011e-01,-6.658985256666020980e-03,-2.765942175195082800e-03,1.061914817368093678e+00
9.833999999999999631e+00,7.867200000000000415e+00,4.808026684827357844e-01,2.232126402366278461e-01,-6.658155494664542637e-03,-2.765517252525472643e-03,1.061888246778199374e+00
9.836000000000000298e+00,7.868800000000000239e+00,4.808177257254666603e-01,2.232019878531157908e-01,-6.657326419781413492e-03,-2.765092696968040817e-03,1.061861678189072844e+00
9.838000000000000966e+00,7.870400000000000951e+00,4.808327713889893884e-01,2.231913367955735417e-01,-6.656498031319460322e-03,-2.764668508139818057e-03,1.061835111598419257e+00
9.839999999999999858e+00,7.871999999999999886e+00,4.808478054818466352e-01,2.231806870629032824e-01,-6.655670328582602782e-03,-2.764244685658414063e-03,1.061808547003943115e+00
9.842000000000000526e+00,7.873600000000000598e+00,4.808628280125753496e-01,2.231700386540083902e-01,-6.654843310874778740e-03,-2.763821229141570374e-03,1.061781984403353807e+00
9.843999999999999417e+00,7.875199999999999534e+00,4.808778389897065964e-01,2.231593915677933804e-01,-6.654016977502106613e-03,-2.763398138208059823e-03,1.061755423794361164e+00
9.846000000000000085e+00,7.876800000000000246e+00,4.808928384217659446e-01,2.231487458031639892e-01,-6.653191327769677858e-03,-2.762975412476352532e-03,1.061728865174678127e+00
9.848000000000000753e+00,7.878400000000000958e+00,4.809078263172730239e-01,2.231381013590268692e-01,-6.652366360985736797e-03,-2.762553051566351073e-03,1.061702308542019635e+00
9.849999999999999645e+00,7.879999999999999893e+00,4.809228026847418569e-01,2.231274582342897550e-01,-6.651542076458349072e-03,-2.762131055098010057e-03,1.061675753894102181e+00
9.852000000000000313e+00,7.881600000000000605e+00,4.809377675326807489e-01,2.231168164278617971e-01,-6.650718473495996659e-03,-2.761709422691579433e-03,1.061649201228645589e+00
9.854000000000000981e+00,7.883200000000001317e+00,4.809527208695921763e-01,2.231061759386528398e-01,-6.649895551408871973e-03,-2.761288153968142253e-03,1.061622650543370794e+00
9.855999999999999872e+00,7.884800000000000253e+00,4.809676627039730645e-01,2.230955367655741706e-01,-6.649073309507649680e-03,-2.760867248549107693e-03,1.061596101836002060e+00
9.858000000000000540e+00,7.886400000000000965e+00,4.809825930443145103e-01,2.230848989075380207e-01,-6.648251747104053956e-03,-2.760446706056441345e-03,1.061569555104264317e+00
9.859999999999999432e+00,7.887999999999999901e+00,4.809975118991020038e-01,2.230742623634576760e-01,-6.647430863510708429e-03,-2.760026526112607098e-03,1.061543010345886051e+00
9.862000000000000099e+00,7.889600000000000612e+00,4.810124192768151508e-01,2.230636271322476716e-01,-6.646610658040518621e-03,-2.759606708340307368e-03,1.061516467558597743e+00
9.864000000000000767e+00,7.891200000000001324e+00,4.810273151859280616e-01,2.230529932128235138e-01,-6.645791130008095286e-03,-2.759187252363076801e-03,1.061489926740130985e+00
9.865999999999999659e+00,7.892800000000000260e+00,4.810421996349090179e-01,2.230423606041019302e-01,-6.644972278728678017e-03,-2.758768157804832987e-03,1.061463387888220700e+00
9.868000000000000327e+00,7.894400000000000972e+00,4.810570726322206392e-01,2.230317293050005645e-01,-6.644154103517910595e-03,-2.758349424289782779e-03,1.061436851000603365e+00
9.870000000000000995e+00,7.896000000000000796e+00,4.810719341863198828e-01,2.230210993144383647e-01,-6.643336603692594731e-03,-2.757931051442737147e-03,1.061410316075018123e+00
9.871999999999999886e+00,7.897600000000000620e+00,4.810867843056579329e-01,2.230104706313350837e-01,-6.642519778570843587e-03,-2.757513038889172763e-03,1.061383783109205892e+00
9.874000000000000554e+00,7.899200000000000443e+00,4.811016229986804227e-01,2.229998432546118348e-01,-6.641703627470701803e-03,-2.757095386254659105e-03,1.061357252100909365e+00
