x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.732499999999999929e+01,3.216028430431799260e-03,2.051877300023697772e-08,4.103754600047395147e-07,8.691292217774976856e-06
-1.727499999999999858e+01,3.225324630284444761e-03,2.363436684435822825e-08,4.726873368871645252e-07,8.741629923213942415e-06
-1.722500000000000142e+01,3.234674693396208389e-03,2.894564594184032521e-08,5.789129188368064381e-07,8.792406076584938403e-06
-1.717500000000000071e+01,3.244079088961769348e-03,3.572549300241162747e-08,7.145098600482324701e-07,8.843625783032223200e-06
-1.712500000000000000e+01,3.253538291621913946e-03,4.299570435067872905e-08,8.599140870135745280e-07,8.895294222196736732e-06
-1.707499999999999929e+01,3.263052781562891889e-03,4.967716281716726774e-08,9.935432563433453284e-07,8.947416649524026063e-06
-1.702499999999999858e+01,3.272623044591717149e-03,5.475974167397636924e-08,1.095194833479527279e-06,8.999998397599004996e-06
-1.697500000000000142e+01,3.282249572228218906e-03,5.746530801471035268e-08,1.149306160294207001e-06,9.053044877508228692e-06
-1.692500000000000071e+01,3.291932861769831728e-03,5.737765041688455665e-08,1.147553008337691107e-06,9.106561580230296558e-06
-1.687500000000000000e+01,3.301673416393176644e-03,5.451779589212110301e-08,1.090355917842421954e-06,9.160554078055047484e-06
-1.682499999999999929e+01,3.311471745231588104e-03,4.935136700659935697e-08,9.870273401319871129e-07,9.215028026032279251e-06
-1.677499999999999858e+01,3.321328363478891644e-03,4.272514344941509132e-08,8.545028689883017999e-07,9.269989163450624011e-06
-1.672500000000000142e+01,3.331243792449214546e-03,3.574121465558099949e-08,7.148242931116199369e-07,9.325443315347370970e-06
-1.667500000000000071e+01,3.341218559712654662e-03,2.958727039613133485e-08,5.917454079226266705e-07,9.381396394049925736e-06
-1.662500000000000000e+01,3.351253199133817726e-03,2.534902934582596007e-08,5.069805869165191485e-07,9.437854400749668690e-06
-1.657499999999999929e+01,3.361348251025434927e-03,2.383429722799561580e-08,4.766859445599123029e-07,9.494823427109050926e-06
-1.652499999999999858e+01,3.371504262195135822e-03,2.543702197829538470e-08,5.087404395659076279e-07,9.552309656902644352e-06
-1.647500000000000142e+01,3.381721786080205995e-03,3.006403837844759349e-08,6.012807675689517903e-07,9.610319367693037035e-06
-1.642500000000000071e+01,3.392001382815392624e-03,3.713776015761506465e-08,7.427552031523012137e-07,9.668858932542417428e-06
-1.637500000000000000e+01,3.402343619374669555e-03,4.567629360147449160e-08,9.135258720294898319e-07,9.727934821760635231e-06
-1.632499999999999929e+01,3.412749069633216371e-03,5.444013258663488122e-08,1.088802651732697519e-06,9.787553604690767169e-06
-1.627499999999999858e+01,3.423218314496411993e-03,6.212370000424766305e-08,1.242474000084953261e-06,9.847721951532980523e-06
-1.622500000000000142e+01,3.433751942013926577e-03,6.756229687733238265e-08,1.351245937546647494e-06,9.908446635207715929e-06
-1.617500000000000071e+01,3.444350547469525979e-03,6.992181647018743641e-08,1.398436329403748622e-06,9.969734533259166920e-06
-1.612500000000000000e+01,3.455014733510949638e-03,6.884050088317147585e-08,1.376810017663429358e-06,1.003159262979992189e-05
-1.607499999999999929e+01,3.465745110242443756e-03,6.449888602655143633e-08,1.289977720531028674e-06,1.009402801749801358e-05
-1.602499999999999858e+01,3.476542295369607679e-03,5.760492872288839271e-08,1.152098574457767801e-06,1.015704789960725202e-05
-1.597499999999999964e+01,3.487406914297160737e-03,4.929450951225213952e-08,9.858901902450427639e-07,1.022065959204195544e-05
-1.592500000000000071e+01,3.498339600243692907e-03,4.096101277317392667e-08,8.192202554634784539e-07,1.028487052549728723e-05
-1.587500000000000000e+01,3.509340994385524992e-03,3.403935668209487905e-08,6.807871336418975811e-07,1.034968824761622877e-05
-1.582499999999999929e+01,3.520411745975612211e-03,2.977777150881055744e-08,5.955554301762110827e-07,1.041512042520443172e-05
-1.577499999999999858e+01,3.531552512453573368e-03,2.903344538626499582e-08,5.806689077252998899e-07,1.048117484649413206e-05
-1.572499999999999964e+01,3.542763959593687485e-03,3.212528979792805934e-08,6.425057959585611869e-07,1.054785942345841013e-05
-1.567500000000000071e+01,3.554046761630891543e-03,3.876883148979397312e-08,7.753766297958794095e-07,1.061518219417702821e-05
-1.562500000000000000e+01,3.565401601399214443e-03,4.810578729687397276e-08,9.621157459374794551e-07,1.068315132525520932e-05
-1.557499999999999929e+01,3.576829170460650489e-03,5.882609810338083273e-08,1.176521962067616655e-06,1.075177511429666170e-05
-1.552499999999999858e+01,3.588330169258426537e-03,6.936538292832278730e-08,1.387307658566455693e-06,1.082106199243231780e-05
-1.547499999999999964e+01,3.599905307238781757e-03,7.814828502343697241e-08,1.562965700468739342e-06,1.089102052690615131e-05
-1.542500000000000071e+01,3.611555303024399210e-03,8.384007167944845252e-08,1.676801433588968892e-06,1.096165942371960393e-05
-1.537500000000000000e+01,3.623280884534587926e-03,8.556652753997591294e-08,1.711330550799518100e-06,1.103298753033610897e-05
-1.532499999999999929e+01,3.635082789159604401e-03,8.306617213213862147e-08,1.661323442642772429e-06,1.110501383844728590e-05
-1.527499999999999858e+01,3.646961763896929432e-03,7.674866850358907358e-08,1.534973370071781472e-06,1.117774748680244199e-05
-1.522499999999999964e+01,3.658918565516619797e-03,6.764755982306632177e-08,1.352951196461326329e-06,1.125119776410299740e-05
-1.517500000000000071e+01,3.670953960727866856e-03,5.727201853569224706e-08,1.145440370713844835e-06,1.132537411196360228e-05
-1.512500000000000000e+01,3.683068726325604975e-03,4.737854109704916343e-08,9.475708219409832687e-07,1.140028612794161784e-05
-1.507499999999999929e+01,3.695263649374259073e-03,3.969687137982457194e-08,7.939374275964913593e-07,1.147594356863687408e-05
