a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.067011288488334958e-02,1.724054174017179350e-02,2.403198729185076488e+01,1.233316405486175382e+00,4.164239336513146927e-01,-8.467846956326594010e-02,6.509661191928439727e-02
1.067011288488334958e-02,1.831615636987284426e-02,2.357434162224778262e+01,1.209165668497861779e+00,4.011710110224497305e-01,-8.748617757522175742e-02,6.574326793639463651e-02
1.067011288488334958e-02,1.945887717576388898e-02,2.307408533864151323e+01,1.182838734349764387e+00,3.864423204556898250e-01,-9.034973418766162334e-02,6.632599930693176826e-02
1.067011288488334958e-02,2.067289082355074428e-02,2.254114249773569867e+01,1.154862956923411454e+00,3.721166270640955953e-01,-9.327081872777107097e-02,6.684613478449259738e-02
1.067011288488334958e-02,2.196264517948329914e-02,2.197716386323887150e+01,1.125323705127033502e+00,3.580192172191957733e-01,-9.625126255900469385e-02,6.730549717348914551e-02
1.067011288488334958e-02,2.333286560631255002e-02,2.138279033532425188e+01,1.094252158952215614e+00,3.439378377787118413e-01,-9.929302360359015811e-02,6.770607465724851060e-02
1.067011288488334958e-02,2.478857227593068979e-02,2.075855299767373552e+01,1.061673029002148327e+00,3.296473882777691267e-01,-1.023981496628185717e-01,6.804969603916199983e-02
1.067011288488334958e-02,2.633509856212426156e-02,2.010529299532613123e+01,1.027627094248527495e+00,3.149408898760935882e-01,-1.055687283343822863e-01,6.833866599693776134e-02
1.067011288488334958e-02,2.797811058082649155e-02,1.942462276019762513e+01,9.921960118963353281e-01,2.996620956212594500e-01,-1.088068209746706899e-01,6.857480036586899308e-02
1.067011288488334958e-02,2.972362794946058900e-02,1.871947334586376144e+01,9.555312425754988181e-01,2.837334270140585701e-01,-1.121149816566969631e-01,6.876017337422410391e-02
1.067011288488334958e-02,3.157804584143061172e-02,1.799424839356818495e+01,9.178623812486930156e-01,2.671724568114401399e-01,-1.154952360388025179e-01,6.889631421671492395e-02
1.067011288488334958e-02,3.354815841656336173e-02,1.725528940974692205e+01,8.795221377703892340e-01,2.500915477157267808e-01,-1.189499519953297058e-01,6.898478424156868904e-02
1.067011288488334958e-02,3.564118371334409202e-02,1.651351507034715382e+01,8.410868457845407375e-01,2.326787247167911576e-01,-1.224813601941470986e-01,6.902669722075262249e-02
1.067011288488334958e-02,3.786479009414649155e-02,1.577416135539611375e+01,8.028294018954182931e-01,2.151628969353427678e-01,-1.260921492085817219e-01,6.902281136281916696e-02
1.067011288488334958e-02,4.022712434034501905e-02,1.504070387031218914e+01,7.649286045271321832e-01,1.977717789353218292e-01,-1.297842843459087459e-01,6.897358648897460032e-02
1.067011288488334958e-02,4.273684150024484318e-02,1.431642385212186319e+01,7.275525898125007052e-01,1.806942924760388536e-01,-1.335601298864875497e-01,6.887919466193297147e-02
1.067011288488334958e-02,4.540313659918413652e-02,1.360437397453022967e+01,6.908571055346507395e-01,1.640589371770447558e-01,-1.374220278918993898e-01,6.873947330391297350e-02
1.067011288488334958e-02,4.823577832798812970e-02,1.290735792713418562e+01,6.549845323582024204e-01,1.479347771617492702e-01,-1.413721792856978132e-01,6.855381064554240400e-02
1.067011288488334958e-02,5.124514483320120189e-02,1.222797578719962175e+01,6.200662803458122374e-01,1.323534387972010173e-01,-1.454129168656253801e-01,6.832102446737704782e-02
1.067011288488334958e-02,5.444226174022428338e-02,1.156877846489701156e+01,5.862312391998935057e-01,1.173420364889540546e-01,-1.495465848124266917e-01,6.804028236335379898e-02
1.067011288488334958e-02,5.783884254866560048e-02,1.093152967238033035e+01,5.535662076792519093e-01,1.029523200400642297e-01,-1.537748307683470261e-01,6.771021948562712389e-02
1.067011288488334958e-02,6.144733154790400081e-02,1.031868523750730837e+01,5.221952734283943354e-01,8.927339130516542820e-02,-1.581002532447457476e-01,6.732879767913062252e-02
1.067011288488334958e-02,6.528094941009757179e-02,9.732271789821876240e+00,4.922197327663578870e-01,7.642358593841781789e-02,-1.625244358985698800e-01,6.689450102547177257e-02
1.067011288488334958e-02,6.935374162767990458e-02,9.172070099640684759e+00,4.636220195299953217e-01,6.452737087628218626e-02,-1.670501159825010795e-01,6.640524382376485069e-02
1.067011288488334958e-02,7.368062997280773463e-02,8.637759868899278715e+00,4.363799833209747181e-01,5.368959607257602074e-02,-1.716783085454004487e-01,6.585893075947681086e-02
1.067011288488334958e-02,7.827746716729556964e-02,8.128806825171091432e+00,4.104610655867065305e-01,4.397851488331133707e-02,-1.764115051729167327e-01,6.525372338669782613e-02
1.067011288488334958e-02,8.316109496333533302e-02,7.644445667754004248e+00,3.858213974094918397e-01,3.542185638229074923e-02,-1.812515205003960572e-01,6.458759797144046633e-02
1.067011288488334958e-02,8.834940584779542305e-02,7.183651797346262136e+00,3.624042527787461054e-01,2.801222849535054890e-02,-1.861993110071767099e-01,6.385825271592665553e-02
1.067011288488334958e-02,9.386140859616946830e-02,6.746019724866235023e+00,3.401858233125448217e-01,2.171465657220627080e-02,-1.912578552659447151e-01,6.306403272917206204e-02
1.067011288488334958e-02,9.971729791634936779e-02,6.329784011107709496e+00,3.190720354899577726e-01,1.647141990508755108e-02,-1.964277108860846000e-01,6.220283163104609048e-02
1.067011288488334958e-02,1.059385284373813990e-01,5.934714481785293039e+00,2.990490102028254271e-01,1.220418874523001435e-02,-2.017110243175804229e-01,6.127368249452626314e-02
1.067011288488334958e-02,1.125478933142830401e-01,5.559152273106493070e+00,2.800293453767743745e-01,8.816315745734463680e-03,-2.071088116351958164e-01,6.027453637380062595e-02
1.067011288488334958e-02,1.195696077369105548e-01,5.201994189508912569e+00,2.619545656379998477e-01,6.197426364209834837e-03,-2.126227016467192865e-01,5.920513730574111788e-02
1.067011288488334958e-02,1.270293976488344745e-01,4.862617838670634463e+00,2.447914027327292852e-01,4.230096326341244856e-03,-2.182535663414699179e-01,5.806383838003313647e-02
1.067011288488334958e-02,1.349545940012686629e-01,4.540409732794250530e+00,2.285072051598746323e-01,2.796996645219292001e-03,-2.240023605755663838e-01,5.685043714438735990e-02
1.067011288488334958e-02,1.433742328873773286e-01,4.233767394146127572e+00,2.130186187123391806e-01,1.787112755442778200e-03,-2.298711759116666420e-01,5.556485474235186434e-02
1.067011288488334958e-02,1.523191619238295214e-01,3.941964840112002211e+00,1.982875780332757631e-01,1.100467303810917985e-03,-2.358590751931575469e-01,5.420735394131222240e-02
1.067011288488334958e-02,1.618221532693579490e-01,3.664420997382138889e+00,1.842835311660628028e-01,6.512386549289126986e-04,-2.419690771823052866e-01,5.277877378394719987e-02
1.067011288488334958e-02,1.719180236943967377e-01,3.400519075851959450e+00,1.709742477863258059e-01,3.692583137524524796e-04,-2.482001647822483503e-01,5.127994790786933460e-02
1.067011288488334958e-02,1.826437621417049684e-01,3.149736931295403775e+00,1.583323570323776075e-01,1.999619145707497180e-04,-2.545547860933947137e-01,4.971284758795010278e-02
1.067011288488334958e-02,1.940386652453297833e-01,2.911545532138993586e+00,1.463302613975623612e-01,1.030620640338325816e-04,-2.610306631505629471e-01,4.807928285878084601e-02
1.067011288488334958e-02,2.061444813044173707e-01,2.685440244156146683e+00,1.349417057069957904e-01,5.037295783155538802e-05,-2.676302708400178920e-01,4.638244093048794064e-02
1.067011288488334958e-02,2.190055632393610729e-01,2.471007839726584443e+00,1.241451283094973518e-01,2.325712196718179468e-05,-2.743520800644492219e-01,4.462482317642080948e-02
