t,tau,detuning,population,dP_dtau,heat_power,mutual_information
6.264000000000000234e+00,5.011200000000000543e+00,4.245334695241732570e-01,9.072922483960055295e-02,-8.167245220075690371e-02,-3.759981016273790388e-02,6.084434891483875285e-01
6.266000000000000014e+00,5.012800000000000367e+00,4.245892676372671204e-01,9.059851080660562272e-02,-8.172003617153728028e-02,-3.761806868973863183e-02,6.078407521058336593e-01
6.267999999999999794e+00,5.014400000000000190e+00,4.246450278571862746e-01,9.046772102203703980e-02,-8.176714168773956126e-02,-3.763610522235751737e-02,6.072372506426415573e-01
6.270000000000000462e+00,5.016000000000000902e+00,4.247007502046931116e-01,9.033685625125151275e-02,-8.181376896296009560e-02,-3.765391992585400555e-02,6.066329870315408934e-01
6.272000000000000242e+00,5.017600000000000726e+00,4.247564347005460261e-01,9.020591725926178917e-02,-8.185991821368127086e-02,-3.767151296668778265e-02,6.060279635495489092e-01
6.274000000000000021e+00,5.019200000000000550e+00,4.248120813654993611e-01,9.007490481073185395e-02,-8.190558965926551804e-02,-3.768888451251552890e-02,6.054221824779706385e-01
6.275999999999999801e+00,5.020800000000000374e+00,4.248676902203035732e-01,8.994381966997250233e-02,-8.195078352195005189e-02,-3.770603473218801793e-02,6.048156461023985742e-01
6.278000000000000469e+00,5.022400000000001086e+00,4.249232612857051783e-01,8.981266260093649645e-02,-8.199550002684131977e-02,-3.772296379574702208e-02,6.042083567127130017e-01
6.280000000000000249e+00,5.024000000000000909e+00,4.249787945824463620e-01,8.968143436721429107e-02,-8.203973940190883996e-02,-3.773967187442207882e-02,6.036003166030824429e-01
6.282000000000000028e+00,5.025600000000000733e+00,4.250342901312656463e-01,8.955013573202925958e-02,-8.208350187798019171e-02,-3.775615914062758344e-02,6.029915280719633230e-01
6.283999999999999808e+00,5.027200000000000557e+00,4.250897479528973344e-01,8.941876745823308659e-02,-8.212678768873483970e-02,-3.777242576795955542e-02,6.023819934220993044e-01
6.286000000000000476e+00,5.028800000000000381e+00,4.251451680680716216e-01,8.928733030830143802e-02,-8.216959707069884655e-02,-3.778847193119268949e-02,6.017717149605235072e-01
6.288000000000000256e+00,5.030400000000000205e+00,4.252005504975147621e-01,8.915582504432913169e-02,-8.221193026323889153e-02,-3.780429780627714287e-02,6.011606949985550674e-01
6.290000000000000036e+00,5.032000000000000028e+00,4.252558952619489019e-01,8.902425242802573802e-02,-8.225378750855670551e-02,-3.781990357033544747e-02,6.005489358518010246e-01
6.291999999999999815e+00,5.033599999999999852e+00,4.253112023820920240e-01,8.889261322071119464e-02,-8.229516905168349217e-02,-3.783528940165956783e-02,5.999364398401569876e-01
6.294000000000000483e+00,5.035200000000000564e+00,4.253664718786581700e-01,8.876090818331096310e-02,-8.233607514047401599e-02,-3.785045547970759816e-02,5.993232092878039152e-01
6.296000000000000263e+00,5.036800000000000388e+00,4.254217037723570516e-01,8.862913807635171282e-02,-8.237650602560107893e-02,-3.786540198510082722e-02,5.987092465232103367e-01
6.298000000000000043e+00,5.038400000000000212e+00,4.254768980838944392e-01,8.849730365995686632e-02,-8.241646196054945583e-02,-3.788012909962047703e-02,5.980945538791309080e-01
6.299999999999999822e+00,5.040000000000000036e+00,4.255320548339719400e-01,8.836540569384196409e-02,-8.245594320161052371e-02,-3.789463700620473302e-02,5.974791336926060792e-01
6.302000000000000490e+00,5.041600000000000747e+00,4.255871740432869421e-01,8.823344493731018201e-02,-8.249495000787650245e-02,-3.790892588894569093e-02,5.968629883049615392e-01
6.304000000000000270e+00,5.043200000000000571e+00,4.256422557325327816e-01,8.810142214924805704e-02,-8.253348264123427924e-02,-3.792299593308599143e-02,5.962461200618083268e-01
6.306000000000000050e+00,5.044800000000000395e+00,4.256972999223985199e-01,8.796933808812079647e-02,-8.257154136636024599e-02,-3.793684732501604456e-02,5.956285313130414982e-01
6.307999999999999829e+00,5.046400000000000219e+00,4.257523066335691109e-01,8.783719351196785097e-02,-8.260912645071390170e-02,-3.795048025227062277e-02,5.950102244128395723e-01
6.310000000000000497e+00,5.048000000000000931e+00,4.258072758867252894e-01,8.770498917839855690e-02,-8.264623816453264826e-02,-3.796389490352599511e-02,5.943912017196641973e-01
6.312000000000000277e+00,5.049600000000000755e+00,4.258622077025436270e-01,8.757272584458773712e-02,-8.268287678082557324e-02,-3.797709146859665902e-02,5.937714655962598176e-01
6.314000000000000057e+00,5.051200000000000578e+00,4.259171021016964764e-01,8.744040426727095472e-02,-8.271904257536773220e-02,-3.799007013843220398e-02,5.931510184096506766e-01
6.315999999999999837e+00,5.052800000000000402e+00,4.259719591048519716e-01,8.730802520274058565e-02,-8.275473582669469474e-02,-3.800283110511445961e-02,5.925298625311438139e-01
6.318000000000000504e+00,5.054400000000001114e+00,4.260267787326739719e-01,8.717558940684103086e-02,-8.278995681609607749e-02,-3.801537456185399150e-02,5.919080003363248466e-01
6.320000000000000284e+00,5.056000000000000938e+00,4.260815610058220626e-01,8.704309763496445584e-02,-8.282470582761038147e-02,-3.802770070298731875e-02,5.912854342050586354e-01
6.322000000000000064e+00,5.057600000000000762e+00,4.261363059449517210e-01,8.691055064204622482e-02,-8.285898314801866393e-02,-3.803980972397359023e-02,5.906621665214872863e-01
6.323999999999999844e+00,5.059200000000000585e+00,4.261910135707139835e-01,8.677794918256087620e-02,-8.289278906683895942e-02,-3.805170182139158003e-02,5.900381996740307056e-01
6.326000000000000512e+00,5.060800000000000409e+00,4.262456839037558343e-01,8.664529401051739022e-02,-8.292612387632021520e-02,-3.806337719293642619e-02,5.894135360553836023e-01
6.328000000000000291e+00,5.062400000000000233e+00,4.263003169647196500e-01,8.651258587945506728e-02,-8.295898787143665687e-02,-3.807483603741669553e-02,5.887881780625168204e-01
6.330000000000000071e+00,5.064000000000000057e+00,4.263549127742437550e-01,8.637982554243897604e-02,-8.299138134988191806e-02,-3.808607855475121262e-02,5.881621280966728982e-01
6.331999999999999851e+00,5.065599999999999881e+00,4.264094713529620884e-01,8.624701375205580389e-02,-8.302330461206279544e-02,-3.809710494596573599e-02,5.875353885633681772e-01
6.334000000000000519e+00,5.067200000000000593e+00,4.264639927215043702e-01,8.611415126040930512e-02,-8.305475796109372533e-02,-3.810791541319003689e-02,5.869079618723891389e-01
6.336000000000000298e+00,5.068800000000000416e+00,4.265184769004957688e-01,8.598123881911616528e-02,-8.308574170279076077e-02,-3.811851015965475598e-02,5.862798504377920716e-01
6.338000000000000078e+00,5.070400000000000240e+00,4.265729239105572335e-01,8.584827717930167135e-02,-8.311625614566589548e-02,-3.812888938968830160e-02,5.856510566779027371e-01
