t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
4.264000000000000234e+00,3.411200000000000454e+00,8.202760391368826148e-03,-1.172478757652431827e-02,1.429370969906845978e+00,-1.845012573041866430e-02,9.513843525339604756e-02,-1.124418375033458817e-01,1.138399077256611706e-02,1.815120454393018612e+00
4.266000000000000014e+00,3.412800000000000278e+00,8.179361873917665240e-03,-1.167376142436398444e-02,1.427221536876764674e+00,-1.836749622509429095e-02,9.491397386639929823e-02,-1.120197370047431862e-01,1.135760305221644034e-02,1.815183659680577710e+00
4.267999999999999794e+00,3.414400000000000102e+00,8.156065194244005098e-03,-1.162294970148025110e-02,1.425068268174577213e+00,-1.828522447036872930e-02,9.469035531166421216e-02,-1.115990050946871620e-01,1.133125034727529637e-02,1.815246665051649444e+00
4.270000000000000462e+00,3.416000000000000369e+00,8.132869924154111779e-03,-1.157235174323315886e-02,1.422911204919680594e+00,-1.820330929210575710e-02,9.446757685352033529e-02,-1.111796402644566473e-01,1.130493269557842663e-02,1.815309471182724455e+00
4.272000000000000242e+00,3.417600000000000193e+00,8.109775636782438901e-03,-1.152196688607732590e-02,1.420750388434750544e+00,-1.812174951842241907e-02,9.424563575932676240e-02,-1.107616409940374858e-01,1.127865013457996293e-02,1.815372078748329843e+00
4.274000000000000021e+00,3.419200000000000017e+00,8.086781906589441890e-03,-1.147179446756356989e-02,1.418585860243848140e+00,-1.804054397969047027e-02,9.402452929949339788e-02,-1.103450057521662003e-01,1.125240270135332080e-02,1.815434488421031167e+00
4.275999999999999801e+00,3.420799999999999841e+00,8.063888309359364473e-03,-1.142183382634076767e-02,1.416417662070542205e+00,-1.795969150853822180e-02,9.380425474750384018e-02,-1.099297329963762337e-01,1.122619043259226630e-02,1.815496700871436442e+00
4.278000000000000469e+00,3.422400000000000553e+00,8.041094422198061600e-03,-1.137208430215760381e-02,1.414245835835988618e+00,-1.787919093985218533e-02,9.358480937993789162e-02,-1.095158211730433429e-01,1.120001336461182856e-02,1.815558716768200798e+00
4.280000000000000249e+00,3.424000000000000377e+00,8.018399823530787673e-03,-1.132254523586432617e-02,1.412070423656999196e+00,-1.779904111077872109e-02,9.336619047649383218e-02,-1.091032687174313814e-01,1.117387153334930758e-02,1.815620536778028038e+00
4.282000000000000028e+00,3.425600000000000200e+00,7.995804093099995180e-03,-1.127321596941439213e-02,1.409891467844072155e+00,-1.771924086072554361e-02,9.314839532001009670e-02,-1.086920740537374169e-01,1.114776497436522490e-02,1.815682161565676411e+00
4.283999999999999808e+00,3.427200000000000024e+00,7.973306811963119453e-03,-1.122409584586621725e-02,1.407709010899420798e+00,-1.763978903136334889e-02,9.293142119648822863e-02,-1.082822355951379850e-01,1.112169372284434188e-02,1.815743591793959943e+00
4.286000000000000476e+00,3.428800000000000736e+00,7.950907562490377306e-03,-1.117518420938484053e-02,1.405523095514967569e+00,-1.756068446662733748e-02,9.271526539511433518e-02,-1.078737517438348587e-01,1.109565781359657562e-02,1.815804828123753989e+00
4.288000000000000256e+00,3.430400000000000560e+00,7.928605928362544852e-03,-1.112648040524361059e-02,1.403333764570325437e+00,-1.748192601271876187e-02,9.249992520828051457e-02,-1.074666208911014414e-01,1.106965728105805367e-02,1.815865871213997673e+00
4.290000000000000036e+00,3.432000000000000384e+00,7.906401494568738794e-03,-1.107798377982579900e-02,1.401141061130751098e+00,-1.740351251810632813e-02,9.228539793160797644e-02,-1.070608414173285783e-01,1.104369215929205082e-02,1.815926721721697445e+00
4.291999999999999815e+00,3.433600000000000207e+00,7.884293847404206385e-03,-1.102969368062621698e-02,1.398945028445076177e+00,-1.732544283352766001e-02,9.207168086396722018e-02,-1.066564116920707267e-01,1.101776248198993273e-02,1.815987380301930187e+00
4.294000000000000483e+00,3.435200000000000475e+00,7.862282574468085899e-03,-1.098160945625285823e-02,1.396745709943630009e+00,-1.724771581199073880e-02,9.185877130750122466e-02,-1.062533300740927666e-01,1.099186828247219506e-02,1.816047847607848542e+00
4.296000000000000263e+00,3.436800000000000299e+00,7.840367264661180988e-03,-1.093373045642851045e-02,1.394543149236135759e+00,-1.717033030877533270e-02,9.164666656764557107e-02,-1.058515949114167826e-01,1.096600959368945402e-02,1.816108124290683135e+00
4.298000000000000043e+00,3.438400000000000123e+00,7.818547508183750633e-03,-1.088605603199222990e-02,1.392337390109568140e+00,-1.709328518143420073e-02,9.143536395315084164e-02,-1.054512045413675825e-01,1.094018644822337787e-02,1.816168210999745458e+00
4.299999999999999822e+00,3.439999999999999947e+00,7.796822896533233196e-03,-1.083858553490095987e-02,1.390128476526023338e+00,-1.701657928979450826e-02,9.122486077610336697e-02,-1.050521572906202988e-01,1.091439887828768093e-02,1.816228108382434092e+00
