t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
6.928571428571428381e-01,3.883756208238463015e-01,6.781575653137671411e-01,1.093771041339504757e+00,9.767757955704887973e-02,4.411943156066817640e-01,1.417970111177170534e+00
6.999999999999999556e-01,3.962247138201488994e-01,6.728554790226581872e-01,1.103970125410994596e+00,9.953933631384265235e-02,4.455463106373465099e-01,1.440939673775773144e+00
7.071428571428570731e-01,4.041465528595261647e-01,6.675462832832045335e-01,1.114139912131316912e+00,1.014141010331325865e-01,4.498526678572214443e-01,1.463993678188547420e+00
7.142857142857143016e-01,4.121409282240279248e-01,6.622309424449919213e-01,1.124280275821609276e+00,1.033017216295658292e-01,4.541130745505814748e-01,1.487130290846239822e+00
7.214285714285714191e-01,4.202076293117961159e-01,6.569104117976821700e-01,1.134391094663645516e+00,1.052020459376772077e-01,4.583272445679607010e-01,1.510347703944732833e+00
7.285714285714285365e-01,4.283464446645777191e-01,6.515856373237230992e-01,1.144472250682206704e+00,1.071149217397008024e-01,4.624949178214750045e-01,1.533644135218483084e+00
7.357142857142856540e-01,4.365571619951107429e-01,6.462575554591513116e-01,1.154523629726601275e+00,1.090401967930516997e-01,4.666158597789668017e-01,1.557017827709483715e+00
7.428571428571428825e-01,4.448395682143725938e-01,6.409270928625193653e-01,1.164545121451354026e+00,1.109777188574724710e-01,4.706898609571621428e-01,1.580467049531886881e+00
7.500000000000000000e-01,4.531934494586884465e-01,6.355951661919611029e-01,1.174536619296080886e+00,1.129273357218380791e-01,4.747167364140444379e-01,1.603990093632425395e+00
7.571428571428571175e-01,4.616185911166950651e-01,6.302626818904102368e-01,1.184498020464580748e+00,1.148888952306137967e-01,4.786963252406514213e-01,1.627585277546789388e+00
7.642857142857142350e-01,4.701147778561491908e-01,6.249305359789777414e-01,1.194429225903147262e+00,1.168622453099608799e-01,4.826284900525067423e-01,1.651250943152115624e+00
7.714285714285713524e-01,4.786817936505808335e-01,6.195996138584872748e-01,1.204330140278136563e+00,1.188472339934843608e-01,4.865131164808973452e-01,1.674985456415740925e+00
7.785714285714285809e-01,4.873194218057827487e-01,6.142707901191610809e-01,1.214200671952802013e+00,1.208437094476192408e-01,4.903501126642210162e-01,1.698787207140413535e+00
7.857142857142856984e-01,4.960274449861314383e-01,6.089449283584441597e-01,1.224040732963419975e+00,1.228515199966492416e-01,4.941394087396192569e-01,1.722654608706111645e+00
7.928571428571428159e-01,5.048056452407361228e-01,6.036228810069467210e-01,1.233850238994726123e+00,1.248705141473553104e-01,4.978809563351203060e-01,1.746586097808673355e+00
7.999999999999999334e-01,5.136538040294101881e-01,5.983054891624782767e-01,1.243629109354682072e+00,1.269005406132890645e-01,5.015747280625172388e-01,1.770580134195407940e+00
8.071428571428571619e-01,5.225717022484577257e-01,5.929935824321470594e-01,1.253377266948593638e+00,1.289414483386673860e-01,5.052207170112021917e-01,1.794635200397876051e+00
8.142857142857142794e-01,5.315591202562757189e-01,5.876879787824814683e-01,1.263094638252600488e+00,1.309930865218855156e-01,5.088189362431834173e-01,1.818749801462038684e+00
8.214285714285713969e-01,5.406158378987632185e-01,5.823894843975369051e-01,1.272781153286558720e+00,1.330553046386449834e-01,5.123694182895105476e-01,1.842922464675960548e+00
8.285714285714285143e-01,5.497416345345348399e-01,5.770988935449369306e-01,1.282436745586333693e+00,1.351279524646934183e-01,5.158722146483278870e-01,1.867151739295262125e+00
8.357142857142857428e-01,5.589362890599349765e-01,5.718169884497983357e-01,1.292061352175526645e+00,1.372108800981741428e-01,5.193273952847814456e-01,1.891436196266522929e+00
8.428571428571428603e-01,5.681995799338462882e-01,5.665445391764806216e-01,1.301654913536652858e+00,1.393039379815824153e-01,5.227350481329968712e-01,1.915774427948820913e+00
8.499999999999999778e-01,5.775312852022935761e-01,5.612823035180978248e-01,1.311217373581792467e+00,1.414069769233272655e-01,5.260952786003506576e-01,1.940165047833623202e+00
8.571428571428570953e-01,5.869311825228326063e-01,5.560310268937259659e-01,1.320748679622735011e+00,1.435198481188957598e-01,5.294082090742449065e-01,1.964606690263202449e+00
8.642857142857142128e-01,5.963990491887268819e-01,5.507914422532331766e-01,1.330248782340634373e+00,1.456424031716195000e-01,5.326739784316039117e-01,1.989098010147798856e+00
8.714285714285714413e-01,6.059346621529045906e-01,5.455642699896557923e-01,1.339717635755196090e+00,1.477744941130406109e-01,5.358927415513008441e-01,2.013637682681706842e+00
8.785714285714285587e-01,6.155377980516929526e-01,5.403502178590429139e-01,1.349155197193415701e+00,1.499159734228771856e-01,5.390646688297161537e-01,2.038224403058487955e+00
8.857142857142856762e-01,6.252082332283298571e-01,5.351499809076799563e-01,1.358561427257891197e+00,1.520666940485864982e-01,5.421899456996400746e-01,2.062856886185505001e+00
8.928571428571427937e-01,6.349457437562466833e-01,5.299642414066064733e-01,1.367936289794720262e+00,1.542265094245258705e-01,5.452687721527078590e-01,2.087533866397966342e+00
9.000000000000000222e-01,6.447501054621200822e-01,5.247936687933345556e-01,1.377279751861012036e+00,1.563952734907101683e-01,5.483013622655676933e-01,2.112254097172669098e+00
9.071428571428571397e-01,6.546210939486896141e-01,5.196389196206729899e-01,1.386591783692022295e+00,1.585728407111662297e-01,5.512879437299698093e-01,2.137016350841632217e+00
9.142857142857142572e-01,6.645584846173422378e-01,5.145006375125552589e-01,1.395872358667941127e+00,1.607590660918838399e-01,5.542287573869619788e-01,2.161819418305800156e+00
9.214285714285713746e-01,6.745620526904551051e-01,5.093794531267727965e-01,1.405121453280339772e+00,1.629538051983634162e-01,5.571240567653701348e-01,2.186662108749004574e+00
9.285714285714284921e-01,6.846315732334996573e-01,5.042759841245050279e-01,1.414339047098308377e+00,1.651569141727611267e-01,5.599741076247410909e-01,2.211543249352352358e+00
9.357142857142857206e-01,6.947668211769018054e-01,4.991908351465388360e-01,1.423525122734288884e+00,1.673682497506315259e-01,5.627791875029163338e-01,2.236461685009231370e+00
9.428571428571428381e-01,7.049675713376568620e-01,4.941245977960666558e-01,1.432679665809632796e+00,1.695876692772686212e-01,5.655395852684002023e-01,2.261416278041086692e+00
9.499999999999999556e-01,7.152335984406987812e-01,4.890778506279487292e-01,1.441802664919895838e+00,1.718150307236471219e-01,5.682556006776825486e-01,2.286405907914153879e+00
9.571428571428570731e-01,7.255646771400191541e-01,4.840511591443237838e-01,1.450894111599886349e+00,1.740501927019631745e-01,5.709275439376683137e-01,2.311429470957300225e+00
9.642857142857143016e-01,7.359605820395375142e-01,4.790450757964491713e-01,1.459954000288488096e+00,1.762930144807781374e-01,5.735557352733617886e-01,2.336485880081143218e+00
9.714285714285714191e-01,7.464210877137161804e-01,4.740601399926521742e-01,1.468982328293269912e+00,1.785433559997649522e-01,5.761405045009455606e-01,2.361574064498594971e+00
9.785714285714285365e-01,7.569459687279261884e-01,4.690968781122656917e-01,1.477979095754906602e+00,1.808010778840602462e-01,5.786821906063908116e-01,2.386692969446993384e+00
9.857142857142856540e-01,7.675349996585546508e-01,4.641558035254290671e-01,1.486944305611417327e+00,1.830660414582228612e-01,5.811811413297279794e-01,2.411841555911956370e+00
9.928571428571427715e-01,7.781879551128594308e-01,4.592374166186236062e-01,1.495877963562246116e+00,1.853381087598012789e-01,5.836377127551019006e-01,2.437018800353114578e+00
1.000000000000000000e+00,7.889046097485620246e-01,4.543422048258204393e-01,1.504780078032199819e+00,1.876171425525128000e-01,5.860522689067243496e-01,2.462223694431852294e+00
1.007142857142857117e+00,7.996847382931875359e-01,4.494706426651064457e-01,1.513650660135248627e+00,1.899030063390346190e-01,5.884251813508419859e-01,2.487455244741187954e+00
1.014285714285714235e+00,8.105281155631433032e-01,4.446231917806621192e-01,1.522489723638226433e+00,1.921955643734123975e-01,5.907568288038184123e-01,2.512712472537942165e+00
1.021428571428571352e+00,8.214345164825366252e-01,4.398003009899606464e-01,1.531297284924420632e+00,1.944946816730854511e-01,5.930475967464299281e-01,2.537994413477284716e+00
1.028571428571428470e+00,8.324037161017342479e-01,4.350024063360533044e-01,1.540073362957082415e+00,1.968002240305342376e-01,5.952978770444703471e-01,2.563300117349812446e+00
1.035714285714285587e+00,8.434354896156603942e-01,4.302299311448114505e-01,1.548817979242874676e+00,1.991120580245505922e-01,5.975080675757468152e-01,2.588628647821252571e+00
1.042857142857142927e+00,8.545296123818333367e-01,4.254832860869904865e-01,1.557531157795256860e+00,2.014300510311358705e-01,5.996785718635494478e-01,2.613979082174908264e+00
1.050000000000000044e+00,8.656858599381384023e-01,4.207628692449829622e-01,1.566212925097831832e+00,2.037540712340276117e-01,6.018097987166654006e-01,2.639350511056941517e+00
1.057142857142857162e+00,8.769040080203436283e-01,4.160690661841247029e-01,1.574863310067672550e+00,2.060839876348603272e-01,6.039021618760095356e-01,2.664742038224612752e+00
1.064285714285714279e+00,8.881838325793489641e-01,4.114022500284222339e-01,1.583482344018628529e+00,2.084196700629624421e-01,6.059560796679267503e-01,2.690152780297551338e+00
1.071428571428571397e+00,8.995251097981753485e-01,4.067627815405649994e-01,1.592070060624633410e+00,2.107609891847920247e-01,6.079719746642273659e-01,2.715581866512147613e+00
1.078571428571428514e+00,9.109276161086917734e-01,4.021510092060884833e-01,1.600626495883034739e+00,2.131078165130168012e-01,6.099502733490000939e-01,2.741028438479167662e+00
1.085714285714285632e+00,9.223911282080795582e-01,3.975672693215542841e-01,1.609151688077936626e+00,2.154600244152406752e-01,6.118914057922488769e-01,2.766491649944655684e+00
1.092857142857142749e+00,9.339154230750360552e-01,3.930118860866117503e-01,1.617645677743591692e+00,2.178174861223802494e-01,6.137958053303895767e-01,2.791970666554191904e+00
1.099999999999999867e+00,9.455002779857165640e-01,3.884851716998081739e-01,1.626108507627838096e+00,2.201800757366961514e-01,6.156639082536385921e-01,2.817464665620600162e+00
