t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
1.044000000000000039e+00,8.352000000000000535e-01,2.112381888977465649e-01,-3.334791871422237430e-01,1.578687967750234789e+00,-6.321431471467993113e-01,1.031185129223791019e+00,-8.787030077577256959e-01,8.829511491696914183e-01,6.502641529173113222e-01
1.046000000000000041e+00,8.368000000000000993e-01,2.105763611676798042e-01,-3.283484503834875334e-01,1.559284473160911899e+00,-6.223516528568622252e-01,1.029438611331568554e+00,-8.677952453064738947e-01,8.833376217175362699e-01,6.511321748318080749e-01
1.048000000000000043e+00,8.384000000000000341e-01,2.099247981082715264e-01,-3.232145346844486622e-01,1.539668193548750841e+00,-6.125561861339671177e-01,1.027714033347531863e+00,-8.567633654096650231e-01,8.837108710666281564e-01,6.519938329492127593e-01
1.050000000000000044e+00,8.400000000000000799e-01,2.092835058985339225e-01,-3.180776189121060082e-01,1.519840837654536925e+00,-6.027570878384408415e-01,1.026011641739655644e+00,-8.456091390977085176e-01,8.840708953620274313e-01,6.528491215204871301e-01
1.052000000000000046e+00,8.416000000000001258e-01,2.086524903597585801e-01,-3.129378819192255023e-01,1.499804202574616108e+00,-5.929546986605485070e-01,1.024331679407889606e+00,-8.343343633281394833e-01,8.844176931949752074e-01,6.536980350319647748e-01
1.054000000000000048e+00,8.432000000000000606e-01,2.080317569555514834e-01,-3.077955025380653686e-01,1.479560174093177638e+00,-5.831493591086186479e-01,1.022674385632551086e+00,-8.229408607374967266e-01,8.847512636025843813e-01,6.545405682053068164e-01
1.056000000000000050e+00,8.448000000000001064e-01,2.074213107918802812e-01,-3.026506595741056405e-01,1.459110726948280368e+00,-5.733414094971857056e-01,1.021039996023228813e+00,-8.114304793791898840e-01,8.850716060675178909e-01,6.553767159974484002e-01
1.058000000000000052e+00,8.464000000000000412e-01,2.068211566171339888e-01,-2.975035317997844486e-01,1.438457925029986706e+00,-5.635311899351517217e-01,1.019428742468219795e+00,-7.998050924472733803e-01,8.853787205176482100e-01,6.562064736005399634e-01
1.060000000000000053e+00,8.480000000000000870e-01,2.062312988221955412e-01,-2.923542979482378068e-01,1.417603921508995057e+00,-5.537190403139623518e-01,1.017840853084538422e+00,-7.880665979860501658e-01,8.856726073257047416e-01,6.570298364418764026e-01
1.062000000000000055e+00,8.496000000000001329e-01,2.056517414405264199e-01,-2.872031367070455588e-01,1.396550958894279271e+00,-5.439053002958028626e-01,1.016276552168518199e+00,-7.762169185854573827e-01,8.859532673089028920e-01,6.578468001838214674e-01
1.064000000000000057e+00,8.512000000000000677e-01,2.050824881482641027e-01,-2.820502267119802120e-01,1.375301369018267383e+00,-5.340903093018056769e-01,1.014736060147034991e+00,-7.642580010621821129e-01,8.862207017285593791e-01,6.586573607237219408e-01
1.066000000000000059e+00,8.528000000000001135e-01,2.045235422643318923e-01,-2.768957465407647645e-01,1.353857572948238053e+00,-5.242744065002840070e-01,1.013219593529386398e+00,-7.521918161264962155e-01,8.864749122896932176e-01,6.594615141938139358e-01
1.068000000000000060e+00,8.544000000000000483e-01,2.039749067505614577e-01,-2.717398747068341947e-01,1.332222080822626609e+00,-5.144579307949784797e-01,1.011727364859849709e+00,-7.400203580347793908e-01,8.867159011406099411e-01,6.602592569611186457e-01
